file,source,onset_s,start_s,length_s,score,pre_rms,post_rms
main_b1_01.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,10.809524,10.797524,1.2,0.060001,0.036725,0.087545
main_b1_02.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,22.81966,22.80766,0.566285,0.060035,0.010746,0.068094
main_b1_03.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,49.547073,49.535073,1.2,0.070523,0.013845,0.080907
main_b1_04.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,76.529594,76.517594,1.2,0.075822,0.017595,0.089018
main_b1_05.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,102.190384,102.178384,0.295768,0.067242,0.067881,0.118153
main_b1_06.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,104.628593,104.616593,0.831977,0.139656,0.149572,0.251836
main_b1_07.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,105.98111,105.96911,0.568076,0.200284,0.071871,0.254187
main_b1_08.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,106.803741,106.791741,1.126487,0.069176,0.052218,0.108339
main_b1_09.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,107.918228,107.906228,0.828757,0.07659,0.137452,0.179678
main_b1_10.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,108.734985,108.722985,0.547309,0.114979,0.134572,0.215908
main_b1_11.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,109.270294,109.258294,1.098006,0.142381,0.16479,0.265973
main_b1_12.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,111.174828,111.162828,1.2,0.091026,0.098338,0.164779
main_b1_13.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,112.538681,112.526681,0.557647,0.102472,0.119721,0.192263
main_b1_14.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,114.99839,114.98639,1.2,0.149528,0.095411,0.221086
main_b1_15.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,116.8937,116.8817,0.834807,0.146817,0.101718,0.223106
main_b1_16.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,119.906006,119.894006,0.861281,0.072482,0.04873,0.109029
main_b1_17.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,120.755287,120.743287,1.2,0.066139,0.070996,0.119386
main_b1_18.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,122.348007,122.336007,1.096259,0.099495,0.108771,0.181073
main_b1_19.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,123.432266,123.420266,0.315513,0.179068,0.107428,0.259639
main_b1_20.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,128.619049,128.607049,0.859092,0.202373,0.109211,0.284282
main_b1_21.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,132.186188,132.174188,1.2,0.065891,0.062152,0.112505
main_b1_22.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,135.468033,135.456033,1.095511,0.136025,0.118678,0.225034
main_b1_23.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,137.228775,137.216775,0.198691,0.116085,0.284669,0.329587
main_b1_24.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,139.00853,138.99653,1.100821,0.078123,0.106403,0.157926
main_b1_25.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,140.097351,140.085351,0.18,0.104321,0.34141,0.360378
main_b1_26.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,140.634064,140.622064,0.18,0.13028,0.199996,0.280277
main_b1_27.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,143.372238,143.360238,0.18,0.192506,0.228365,0.363779
main_b1_28.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,143.920227,143.908227,0.18,0.159773,0.304729,0.38832
main_b1_29.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,144.737671,144.725671,0.291861,0.144106,0.344655,0.402597
main_b1_30.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,145.283905,145.271905,0.430976,0.084069,0.269934,0.28652
main_b1_31.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,145.702881,145.690881,0.18,0.185808,0.223056,0.3531
main_b1_32.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,146.099655,146.087655,0.8572,0.126303,0.307701,0.357079
main_b1_33.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,146.944855,146.932855,0.430792,0.196955,0.194653,0.342945
main_b1_34.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,147.363647,147.351647,0.38552,0.170342,0.253511,0.360475
main_b1_35.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,147.737167,147.725167,0.284919,0.082916,0.359251,0.331666
main_b1_36.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,148.28183,148.26983,0.284735,0.119119,0.265745,0.318428
main_b1_37.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,148.825195,148.813195,0.286079,0.123081,0.325986,0.36757
main_b1_38.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,149.914474,149.902474,0.18,0.226474,0.17913,0.360821
main_b1_39.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,150.449463,150.437463,1.2,0.131969,0.338845,0.386103
main_b1_40.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,152.363602,152.351602,0.408301,0.123512,0.318203,0.362164
main_b1_41.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,152.759903,152.747903,0.429557,0.139157,0.317024,0.376925
main_b1_42.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,153.46225,153.45025,0.283042,0.141348,0.3504,0.404148
main_b1_43.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,198.46077,198.44877,1.2,0.071045,0.011128,0.079391
