file,source,onset_s,start_s,length_s,score,pre_rms,post_rms
main_b1_44.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,218.896423,218.884423,1.2,0.169459,0.085956,0.233926
main_b1_45.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,226.02771,226.01571,1.2,0.179812,0.137502,0.282938
main_b1_46.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,227.599609,227.587609,1.121604,0.17073,0.104798,0.249329
main_b1_47.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,231.466446,231.454446,1.2,0.176932,0.109029,0.258704
main_b1_48.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,233.220291,233.208291,0.18,0.177568,0.252848,0.367204
main_b1_49.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,234.991837,234.979837,0.201041,0.209552,0.172076,0.338609
main_b1_50.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,235.454849,235.442849,0.656318,0.107105,0.363801,0.379955
main_b1_51.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,236.37059,236.35859,0.297675,0.08956,0.21942,0.254125
main_b1_52.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,236.914352,236.902352,0.67237,0.075198,0.159752,0.195013
main_b1_53.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,237.715866,237.703866,1.2,0.250362,0.228398,0.42166
main_b1_54.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,239.099091,239.087091,0.263586,0.176125,0.216287,0.33834
main_b1_55.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,239.621994,239.609994,0.18,0.085342,0.261265,0.281291
main_b1_56.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,240.035645,240.023645,0.18,0.178766,0.320631,0.41924
main_b1_57.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,240.441422,240.429422,0.18,0.100044,0.393403,0.395096
main_b1_58.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,241.009552,240.997552,1.095298,0.103826,0.296477,0.326184
main_b1_59.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,242.09285,242.08085,0.58364,0.076503,0.401612,0.306014
main_b1_60.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,244.285492,244.273492,0.277549,0.123044,0.218573,0.286974
main_b1_61.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,245.097748,245.085748,0.286231,0.095228,0.172336,0.22448
main_b1_62.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,245.640793,245.628793,0.285453,0.073676,0.185236,0.212603
main_b1_63.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,247.757034,247.745034,0.497352,0.11274,0.265175,0.311621
main_b1_64.wav,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,248.37709,248.36509,1.11103,0.21904,0.222898,0.386213
