pad,file,group,source,label,onset_s,start_s,length_s,score,gap_next_s,post_rms
1,main_b1_01.wav,punch,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,104.628593,104.618593,0.829977,0.139656,0.819977,0.251836
2,main_b1_02.wav,punch,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,105.98111,105.97111,0.566076,0.200284,0.556076,0.254187
3,main_b1_03.wav,punch,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,109.270294,109.260294,0.9,0.142381,1.086006,0.265973
4,main_b1_04.wav,punch,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,114.99839,114.98839,0.9,0.149528,1.362786,0.221086
5,main_b1_05.wav,punch,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,116.8937,116.8837,0.832807,0.146817,0.822807,0.223106
6,main_b1_06.wav,punch,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,123.432266,123.422266,0.313513,0.179068,0.303513,0.259639
7,main_b1_07.wav,punch,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,128.619049,128.609049,0.857092,0.202373,0.847092,0.284282
8,main_b1_08.wav,punch,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,135.468033,135.458033,0.9,0.136025,1.083511,0.225034
9,main_b1_09.wav,punch,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,140.634064,140.624064,0.18,0.13028,0.139526,0.280277
10,main_b1_10.wav,punch,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,143.372238,143.362238,0.18,0.192506,0.160919,0.363779
11,main_b1_11.wav,punch,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,143.646957,143.636957,0.28327,0.131885,0.27327,0.362495
12,main_b1_12.wav,punch,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,143.920227,143.910227,0.18,0.159773,0.131928,0.38832
13,main_b1_13.wav,punch,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,144.737671,144.727671,0.289861,0.144106,0.279861,0.402597
14,main_b1_14.wav,punch,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,145.702881,145.692881,0.18,0.185808,0.129913,0.3531
15,main_b1_15.wav,punch,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,146.099655,146.089655,0.8552,0.126303,0.8452,0.357079
16,main_b1_16.wav,punch,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,146.944855,146.934855,0.428792,0.196955,0.418792,0.342945
17,main_b1_17.wav,punch,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,147.363647,147.353647,0.38352,0.170342,0.37352,0.360475
18,main_b1_18.wav,punch,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,149.914474,149.904474,0.18,0.226474,0.138047,0.360821
19,main_b1_19.wav,punch,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,150.449463,150.439463,0.9,0.131969,1.914139,0.386103
