pad,file,group,source,label,onset_s,start_s,length_s,score,gap_next_s,post_rms
20,main_b1_20.wav,punch,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,152.759903,152.749903,0.427557,0.139157,0.417557,0.376925
21,main_b1_21.wav,punch,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,153.46225,153.45225,0.281042,0.141348,0.271042,0.404148
22,main_b1_22.wav,punch,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,218.896423,218.886423,0.9,0.169459,4.64299,0.233926
23,main_b1_23.wav,punch,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,226.02771,226.01771,0.9,0.179812,1.571899,0.282938
24,main_b1_24.wav,punch,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,227.599609,227.589609,0.9,0.17073,1.109604,0.249329
25,main_b1_25.wav,punch,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,231.466446,231.456446,0.9,0.176932,1.753845,0.258704
26,main_b1_26.wav,punch,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,233.220291,233.210291,0.18,0.177568,0.136017,0.367204
27,main_b1_27.wav,punch,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,234.991837,234.981837,0.199041,0.209552,0.189041,0.338609
28,main_b1_28.wav,punch,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,237.715866,237.705866,0.9,0.250362,1.383225,0.42166
29,main_b1_29.wav,punch,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,239.099091,239.089091,0.261586,0.176125,0.251586,0.33834
30,main_b1_30.wav,punch,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,239.350677,239.340677,0.281317,0.131141,0.271317,0.366982
31,main_b1_31.wav,punch,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,240.035645,240.025645,0.18,0.178766,0.140274,0.41924
32,main_b1_32.wav,punch,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,248.37709,248.36709,0.9,0.21904,1.09903,0.386213
33,main_b1_33.wav,atmos,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,6.201497,6.171497,3.0,0.053424,3.247891,0.085916
34,main_b1_34.wav,atmos,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,12.146462,12.116462,1.967121,0.022583,1.937121,0.040461
35,main_b1_35.wav,atmos,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,14.083583,14.053583,3.0,0.035989,3.009274,0.043287
36,main_b1_36.wav,atmos,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,18.458685,18.428685,3.0,0.018562,4.09,0.037034
37,main_b1_37.wav,atmos,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,23.373945,23.343945,2.477052,0.032394,2.447052,0.066607
38,main_b1_38.wav,atmos,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,28.262245,28.232245,3.0,0.033824,3.818844,0.0656
39,main_b1_39.wav,atmos,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,35.86594,35.83594,2.328573,0.016989,2.298573,0.023711
40,main_b1_40.wav,atmos,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,50.913513,50.883513,2.212858,0.021379,2.182858,0.037289
41,main_b1_41.wav,atmos,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,54.470295,54.440295,2.194444,0.036965,2.164444,0.052009
42,main_b1_42.wav,atmos,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,56.634739,56.604739,1.946622,0.018867,1.916622,0.04986
43,main_b1_43.wav,atmos,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,59.640636,59.610636,2.210726,0.059281,2.180726,0.084226
44,main_b1_44.wav,atmos,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,63.716984,63.686984,3.0,0.05172,3.558727,0.084941
45,main_b1_45.wav,atmos,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,67.536461,67.506461,3.0,0.027529,8.993133,0.048301
46,main_b1_46.wav,atmos,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,76.529594,76.499594,3.0,0.075822,3.836731,0.089018
47,main_b1_47.wav,atmos,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,80.93544,80.90544,3.0,0.048369,5.554359,0.061156
48,main_b1_48.wav,atmos,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,88.280724,88.250724,3.0,0.009176,4.087303,0.021507
49,main_b1_49.wav,atmos,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,92.890564,92.860564,2.784654,0.029043,2.754654,0.053687
50,main_b1_50.wav,atmos,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,124.00061,123.97061,3.0,0.039218,3.003968,0.116348
51,main_b1_51.wav,atmos,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,132.186188,132.156188,2.210633,0.065891,2.180633,0.112505
52,main_b1_52.wav,atmos,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,155.680084,155.650084,2.180986,0.015952,2.150986,0.06381
53,main_b1_53.wav,atmos,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,160.259949,160.229949,2.776872,0.019738,2.746872,0.044503
54,main_b1_54.wav,atmos,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,180.994308,180.964308,3.0,0.055925,3.011002,0.066994
55,main_b1_55.wav,atmos,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,185.362381,185.332381,3.0,0.022003,4.383102,0.07051
56,main_b1_56.wav,atmos,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,194.067307,194.037307,3.0,0.03858,3.30043,0.067973
57,main_b1_57.wav,atmos,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,198.46077,198.43077,2.211762,0.071045,2.181762,0.079391
58,main_b1_58.wav,atmos,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,204.998825,204.968825,2.194139,0.01197,2.164139,0.036018
59,main_b1_59.wav,atmos,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,211.53894,211.50894,1.944963,0.036143,1.914963,0.064661
60,main_b1_60.wav,atmos,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,215.894958,215.864958,3.0,0.039588,3.001465,0.063428
61,main_b1_61.wav,atmos,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,223.539413,223.509413,2.518297,0.035623,2.488297,0.122726
62,main_b1_62.wav,atmos,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,228.709213,228.679213,2.787233,0.040643,2.757233,0.162572
63,main_b1_63.wav,atmos,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,245.914246,245.884246,1.738267,0.059368,1.708267,0.237472
64,main_b1_64.wav,atmos,1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,666 ʇ,249.47612,249.44612,2.607213,0.058456,2.577213,0.165507
