bank,label,source,onsets_detected,usable_features,punch,atmos,output_dir
1,666 ʇ,/Users/seb/Downloads/1_Bon Iver - 666 ʇ - Official Video - Bon Iver_(Instrumental).wav,318,305,32,32,/Users/seb/letgo/tmp/pad_slices_curated_20260414_121309/main_b1
2,29 #Strafford APTS,/Users/seb/Downloads/1_Bon Iver - 29 #Strafford APTS  - Official Video - Bon Iver_(Instrumental).wav,119,118,32,32,/Users/seb/letgo/tmp/pad_slices_curated_20260414_121309/main_b2
